tool	contigs	length_bp	length_delta_bp	edit_distance	substitutions	insertions	deletions	variant_blocks	sha256	path
NextPolish	1	4625147	1	4631	4032	300	299	4458	34867f306df88538baa7f4134da7778880665d379e9a13d1b7da28d62eeb4d7c	/Users/song/Github-Repos/DBGPS-analyzer/analysis/nextpolish_vs_progenfixer/outputs/nextpolish/work/genome.nextpolish.fasta
ProGenFixer	1	4625361	215	5878	3975	1059	844	4397	81d749a1997c79e43d309428da75246c7176f22dbddf4d2edcbe3774fc398e76	/Users/song/Github-Repos/DBGPS-analyzer/analysis/nextpolish_vs_progenfixer/outputs/progenfixer/progenfixer.iter2.fasta
