strand,consensus_exact,consensus_edit_distance,consensus_N_count,consensus_read_count,consensus_mean_depth,dbgps_status,dbgps_observed,dbgps_total_kmers,dbgps_path_complete,dbgps_min_coverage,dbgps_mean_coverage,dbgps_max_coverage,classification
101062490,True,0,0,18,10.433,ok,107,134,False,0,6.075,9,consensus_only
101063986,True,0,0,7,4.134,ok,129,134,False,0,2.545,4,consensus_only
101065925,False,2,2,6,4.878,ok,134,134,True,1,3.806,6,dbgps_only
101066095,False,1,1,131,104.939,ok,134,134,True,23,75.5,119,dbgps_only
101066711,False,1,1,115,91.896,ok,134,134,True,23,66.649,95,dbgps_only
101067377,True,0,0,31,24.482,ok,133,134,False,0,15.642,27,consensus_only
101068141,True,0,0,48,36.774,ok,113,134,False,0,26.299,42,consensus_only
101068451,False,1,1,175,138.341,ok,134,134,True,33,97.306,142,dbgps_only
101070044,False,1,1,205,120.622,ok,134,134,True,38,81.425,157,dbgps_only
101073048,False,1,1,18,12.768,ok,134,134,True,2,9.985,16,dbgps_only
101074080,False,1,1,419,261.134,ok,134,134,True,86,177.575,260,dbgps_only
101074198,False,1,0,5,4.024,ok,134,134,True,1,2.582,5,dbgps_only
101074994,False,1,1,16,12.878,ok,134,134,True,2,10.418,16,dbgps_only
101075234,True,0,0,3,2.415,ok,123,134,False,0,1.41,3,consensus_only
101077010,False,1,1,435,285.409,ok,134,134,True,71,197.948,361,dbgps_only
101077254,False,1,1,14,10.689,ok,134,134,True,3,6.873,13,dbgps_only
101077636,False,1,1,10,8.049,ok,134,134,True,1,6.388,10,dbgps_only
101077777,False,1,1,253,173.244,ok,134,134,True,52,127.978,215,dbgps_only
101078383,False,1,1,9,5.707,ok,134,134,True,2,4.343,7,dbgps_only
101079051,False,3,3,9,7.159,ok,134,134,True,1,5.5,9,dbgps_only
101079905,False,1,1,15,10.768,ok,134,134,True,1,7.925,15,dbgps_only
101080136,False,1,1,13,10.463,ok,134,134,True,1,8.851,13,dbgps_only
101081573,False,1,1,30,23.006,ok,134,134,True,1,19.679,30,dbgps_only
101082195,False,1,1,15,11.616,ok,134,134,True,4,6.769,12,dbgps_only
101084580,True,0,0,7,5.360,ok,116,134,False,0,3.791,7,consensus_only
101085185,False,1,0,130,59.878,ok,134,134,True,18,34.455,117,dbgps_only
101085318,True,0,0,6,4.500,ok,123,134,False,0,3.097,6,consensus_only
101086004,False,1,1,4,3.293,ok,134,134,True,1,2.455,4,dbgps_only
101086579,False,1,1,14,11.299,ok,134,134,True,1,8.246,12,dbgps_only
101087260,False,1,1,22,16.561,ok,134,134,True,2,11.604,20,dbgps_only
101087402,False,2,2,10,7.598,ok,134,134,True,1,6.09,9,dbgps_only
101088390,False,1,0,16,12.244,ok,134,134,True,1,9.507,15,dbgps_only
101089407,True,0,0,4,2.963,ok,121,134,False,0,2.194,4,consensus_only
101091952,False,1,1,18,14.043,ok,134,134,True,1,9.91,17,dbgps_only
101094202,False,1,0,10,8.049,ok,134,134,True,1,5.701,9,dbgps_only
101094540,False,1,1,9,7.000,ok,134,134,True,3,6.552,9,dbgps_only
101095187,False,1,0,5,3.994,ok,134,134,True,1,2.701,4,dbgps_only
101096603,True,0,0,10,6.713,ok,130,134,False,0,4.769,8,consensus_only
101097671,False,1,1,177,123.573,ok,134,134,True,53,66.127,110,dbgps_only
101098584,False,2,2,9,6.652,ok,134,134,True,2,5.119,7,dbgps_only
101098964,False,1,1,11,7.933,ok,134,134,True,1,4.925,8,dbgps_only
101100778,False,1,1,15,12.024,ok,134,134,True,2,9.985,15,dbgps_only
101100942,True,0,0,5,4.024,ok,107,134,False,0,3.343,5,consensus_only
101101485,True,0,0,12,9.457,ok,133,134,False,0,5.664,12,consensus_only
101105533,False,1,1,7,5.634,ok,134,134,True,1,4.254,7,dbgps_only
101106817,False,1,1,22,15.982,ok,134,134,True,2,9.649,15,dbgps_only
101109069,False,2,2,73,57.049,ok,134,134,True,19,33.784,54,dbgps_only
101109162,False,1,1,2,1.610,ok,134,134,True,1,1.478,2,dbgps_only
101109433,True,0,0,9,6.963,ok,132,134,False,0,4.806,9,consensus_only
101112580,False,1,1,14,11.256,ok,134,134,True,1,8.172,13,dbgps_only
101112823,False,1,1,15,10.738,ok,134,134,True,2,7.754,12,dbgps_only
101113230,True,0,0,6,4.329,ok,115,134,False,0,2.44,5,consensus_only
101113245,False,1,1,320,184.116,ok,134,134,True,58,118.507,237,dbgps_only
101113854,False,2,2,4,3.244,ok,134,134,True,1,2.709,4,dbgps_only
101113899,True,0,0,11,7.915,ok,123,134,False,0,4.94,8,consensus_only
101114028,False,2,2,18,14.634,ok,134,134,True,2,11.194,17,dbgps_only
101114241,False,1,1,7,5.012,ok,134,134,True,1,3.761,6,dbgps_only
101114402,False,2,2,6,4.829,ok,134,134,True,1,3.701,6,dbgps_only
101114768,True,0,0,20,16.030,ok,126,134,False,0,10.59,17,consensus_only
101114861,False,1,1,401,254.884,ok,134,134,True,62,176.187,342,dbgps_only
101114927,False,1,1,12,8.835,ok,134,134,True,1,5.731,11,dbgps_only
101115461,False,1,1,4,3.220,ok,134,134,True,1,2.47,4,dbgps_only
101117070,False,1,1,5,4.024,ok,134,134,True,1,2.53,4,dbgps_only
101117490,False,1,1,29,22.976,ok,134,134,True,3,13.112,22,dbgps_only
101118504,False,1,1,227,180.829,ok,134,134,True,81,137.813,195,dbgps_only
101118619,False,2,0,431,251.378,ok,134,134,True,55,159.328,365,dbgps_only
101118925,True,0,0,5,2.793,ok,120,134,False,0,1.903,3,consensus_only
101119967,False,2,2,14,10.884,ok,134,134,True,1,8.157,13,dbgps_only
101121062,False,1,1,4,2.878,ok,134,134,True,1,2.119,4,dbgps_only
101121531,True,0,0,7,5.506,ok,128,134,False,0,3.306,6,consensus_only
101122063,False,1,1,5,3.232,ok,134,134,True,1,2.799,4,dbgps_only
101123363,False,2,2,8,6.476,ok,134,134,True,1,4.015,8,dbgps_only
101124416,False,2,2,4,3.220,ok,134,134,True,1,2.478,4,dbgps_only
101126437,False,1,1,3,2.213,ok,134,134,True,1,1.843,3,dbgps_only
101127126,True,0,0,6,4.829,ok,128,134,False,0,2.507,5,consensus_only
101127896,True,0,0,4,2.488,ok,129,134,False,0,1.821,3,consensus_only
101127983,True,0,0,5,4.024,ok,115,134,False,0,2.896,5,consensus_only
101128622,False,3,2,7,5.329,ok,134,134,True,1,2.754,6,dbgps_only
101129307,True,0,0,14,10.537,ok,124,134,False,0,8.067,13,consensus_only
101130351,True,0,0,4,2.756,ok,128,134,False,0,2.321,3,consensus_only
101130647,False,1,1,12,8.793,ok,134,134,True,3,6.164,10,dbgps_only
101132925,False,2,1,5,4.024,ok,134,134,True,1,2.44,5,dbgps_only
101133265,False,1,1,28,19.244,ok,134,134,True,3,10.037,17,dbgps_only
101133582,False,1,1,6,4.829,ok,134,134,True,1,3.179,6,dbgps_only
101133691,False,1,1,124,98.927,ok,134,134,True,7,60.56,89,dbgps_only
101134529,False,1,1,5,3.439,ok,134,134,True,1,2.545,5,dbgps_only
101134537,False,1,1,227,178.860,ok,134,134,True,32,129.91,189,dbgps_only
101137271,False,1,1,5,3.780,ok,134,134,True,1,3.254,5,dbgps_only
101138560,False,1,0,4,2.970,ok,134,134,True,1,2.276,4,dbgps_only
101139115,False,1,0,17,12.890,ok,134,134,True,2,10.5,17,dbgps_only
101139170,False,1,1,17,12.134,ok,134,134,True,1,9.007,14,dbgps_only
101139259,True,0,0,14,9.439,ok,129,134,False,0,6.955,12,consensus_only
101139512,False,1,1,4,3.122,ok,134,134,True,1,2.612,4,dbgps_only
101140195,False,1,1,8,5.848,ok,134,134,True,1,3.739,6,dbgps_only
101141431,False,1,1,24,18.220,ok,134,134,True,2,13.134,21,dbgps_only
101144894,False,1,1,7,5.634,ok,134,134,True,2,5.075,8,dbgps_only
101145221,False,1,1,325,228.817,ok,134,134,True,49,158.515,261,dbgps_only
101145599,False,1,1,48,37.823,ok,134,134,True,5,28.597,42,dbgps_only
101145671,True,0,0,3,2.030,ok,122,134,False,0,1.672,2,consensus_only
101146326,False,2,2,19,15.372,ok,134,134,True,1,11.321,17,dbgps_only
101146557,False,1,1,12,7.421,ok,134,134,True,1,4.209,7,dbgps_only
101147497,False,1,1,30,23.049,ok,134,134,True,1,17.955,29,dbgps_only
101150260,False,1,1,197,157.134,ok,134,134,True,64,97.94,156,dbgps_only
101150507,False,1,1,17,13.543,ok,134,134,True,1,11.343,17,dbgps_only
101151713,False,1,1,16,12.457,ok,134,134,True,2,9.627,15,dbgps_only
101151743,False,1,1,2,1.610,ok,134,134,True,1,1.507,2,dbgps_only
101152850,False,1,1,31,24.500,ok,134,134,True,3,17.642,29,dbgps_only
101153392,True,0,0,7,4.518,ok,114,134,False,0,3.179,7,consensus_only
101154134,True,0,0,31,24.951,ok,117,134,False,0,19.179,29,consensus_only
101154467,False,1,1,251,197.921,ok,134,134,True,84,133.53,205,dbgps_only
101155194,False,1,1,593,404.415,ok,134,134,True,104,280.896,493,dbgps_only
101155439,True,0,0,3,2.415,ok,109,134,False,0,1.955,3,consensus_only
101155856,False,1,1,7,5.659,ok,134,134,True,1,4.127,7,dbgps_only
101155908,True,0,0,6,4.530,ok,114,134,False,0,2.933,5,consensus_only
101155921,True,0,0,5,3.994,ok,129,134,False,0,3.007,5,consensus_only
101156532,True,0,0,7,5.634,ok,124,134,False,0,4.075,7,consensus_only
101157173,False,1,1,17,13.293,ok,134,134,True,4,9.813,15,dbgps_only
101158368,False,1,1,22,17.628,ok,134,134,True,3,13.47,20,dbgps_only
101161388,False,1,1,120,95.189,ok,134,134,True,37,72.53,104,dbgps_only
101163473,False,1,1,65,50.177,ok,134,134,True,1,30.925,49,dbgps_only
101163754,False,1,1,7,5.634,ok,134,134,True,1,4.537,7,dbgps_only
101164468,False,2,2,330,198.433,ok,134,134,True,49,127.948,205,dbgps_only
101164515,False,1,1,10,7.726,ok,134,134,True,2,5.44,9,dbgps_only
101165558,False,1,0,20,12.274,ok,134,134,True,1,7.194,16,dbgps_only
101166345,False,1,0,88,70.165,ok,134,134,True,3,52.888,72,dbgps_only
101166664,False,1,0,13,9.896,ok,134,134,True,1,6.687,11,dbgps_only
101167358,False,1,1,8,6.524,ok,134,134,True,2,4.978,8,dbgps_only
101168226,False,1,1,154,122.561,ok,134,134,True,32,87.53,126,dbgps_only
101168771,True,0,0,12,9.659,ok,112,134,False,0,6.828,11,consensus_only
101170125,False,1,0,446,267.518,ok,134,134,True,26,162.657,363,dbgps_only
101170735,False,1,1,11,8.915,ok,134,134,True,2,6.694,11,dbgps_only
101171599,True,0,0,4,1.555,ok,111,134,False,0,1.045,3,consensus_only
101171955,False,1,1,5,3.945,ok,134,134,True,1,3.157,5,dbgps_only
101172791,False,3,0,12,9.122,ok,134,134,True,1,6.545,11,dbgps_only
101173079,False,3,3,6,4.829,ok,134,134,True,1,3.687,6,dbgps_only
101173367,False,1,1,5,3.994,ok,134,134,True,1,2.41,5,dbgps_only
101174299,False,1,1,5,4.024,ok,134,134,True,1,2.597,5,dbgps_only
101174532,True,0,0,12,8.085,ok,110,134,False,0,6.142,12,consensus_only
101177196,False,2,2,11,8.854,ok,134,134,True,1,5.873,10,dbgps_only
101177935,False,2,2,164,128.982,ok,134,134,True,30,93.239,134,dbgps_only
101179226,False,1,0,15,12.085,ok,134,134,True,1,9.343,14,dbgps_only
101179577,False,1,1,3,2.488,ok,134,134,True,1,1.933,3,dbgps_only
101182919,False,1,1,7,5.421,ok,134,134,True,2,4.366,6,dbgps_only
101182948,False,1,1,129,96.159,ok,134,134,True,35,49.194,80,dbgps_only
101183334,False,1,1,5,3.146,ok,134,134,True,1,2.657,5,dbgps_only
101185448,False,1,1,81,62.799,ok,134,134,True,8,40.366,66,dbgps_only
101185641,False,1,1,4,3.220,ok,134,134,True,1,2.119,4,dbgps_only
101185903,True,0,0,18,13.232,ok,127,134,False,0,7.978,16,consensus_only
101188141,False,1,0,14,11.140,ok,134,134,True,2,6.866,13,dbgps_only
101188660,True,0,0,17,12.543,ok,133,134,False,0,9.03,15,consensus_only
101189395,True,0,0,9,6.994,ok,129,134,False,0,4.261,7,consensus_only
101190462,False,1,1,91,71.982,ok,134,134,True,3,44.47,68,dbgps_only
101190530,False,1,0,607,387.421,ok,134,134,True,88,266.381,509,dbgps_only
101192113,True,0,0,5,4.024,ok,115,134,False,0,2.418,5,consensus_only
101192544,True,0,0,9,7.244,ok,133,134,False,0,6.179,9,consensus_only
101193110,False,1,1,123,97.384,ok,134,134,True,10,65.955,100,dbgps_only
101194361,False,1,1,5,3.530,ok,134,134,True,1,2.701,4,dbgps_only
101194665,False,1,1,8,6.439,ok,134,134,True,1,6.037,8,dbgps_only
101195630,False,1,1,8,4.470,ok,134,134,True,1,2.373,4,dbgps_only
101195787,False,1,1,7,5.634,ok,134,134,True,1,3.903,7,dbgps_only
101196095,True,0,0,6,4.829,ok,127,134,False,0,3.022,6,consensus_only
101197393,False,1,1,6,4.829,ok,134,134,True,1,4.336,6,dbgps_only
101198594,False,3,3,26,20.500,ok,134,134,True,2,15.299,24,dbgps_only
101198972,False,1,1,15,11.098,ok,134,134,True,1,7.261,11,dbgps_only
101199337,False,2,2,12,7.878,ok,134,134,True,1,5.515,8,dbgps_only
101199909,False,1,1,32,17.427,ok,134,134,True,3,10.493,24,dbgps_only
101200560,True,0,0,103,63.463,ok,131,134,False,0,43.09,60,consensus_only
101200919,False,1,1,187,147.500,ok,134,134,True,25,107.701,163,dbgps_only
101201381,False,2,2,5,3.872,ok,134,134,True,1,2.94,5,dbgps_only
101201435,False,1,1,9,6.659,ok,134,134,True,1,5.254,8,dbgps_only
101201622,False,1,1,19,13.927,ok,134,134,True,1,10.567,15,dbgps_only
101202215,False,1,1,14,11.268,ok,134,134,True,1,7.246,13,dbgps_only
101204215,False,1,1,562,307.817,ok,134,134,True,114,196.187,412,dbgps_only
101204243,True,0,0,11,8.348,ok,125,134,False,0,4.291,10,consensus_only
101204556,False,1,0,6,4.854,ok,134,134,True,1,3.687,6,dbgps_only
101204698,False,1,0,10,8.049,ok,134,134,True,2,5.269,10,dbgps_only
101204827,False,1,1,260,204.579,ok,134,134,True,38,147.403,206,dbgps_only
101205104,False,1,1,180,140.982,ok,134,134,True,24,103.216,149,dbgps_only
101205211,False,1,1,714,490.976,ok,134,134,True,113,347.157,606,dbgps_only
101205287,False,1,1,10,7.970,ok,134,134,True,1,5.418,9,dbgps_only
101205546,True,0,0,5,3.500,ok,119,134,False,0,2.769,4,consensus_only
101206173,False,1,0,161,127.988,ok,134,134,True,22,97.896,138,dbgps_only
101206258,True,0,0,63,49.073,ok,132,134,False,0,37.687,52,consensus_only
101208018,False,2,2,10,7.738,ok,134,134,True,1,5.634,10,dbgps_only
101210865,False,1,1,12,9.518,ok,134,134,True,1,7.418,11,dbgps_only
101211072,False,1,1,21,16.274,ok,134,134,True,5,13.776,20,dbgps_only
101212379,False,1,1,295,178.750,ok,134,134,True,55,118.701,210,dbgps_only
101213259,False,1,1,134,102.726,ok,134,134,True,16,69.418,109,dbgps_only
101213311,False,1,1,5,3.768,ok,134,134,True,1,2.873,4,dbgps_only
101213436,False,1,1,6,4.829,ok,134,134,True,1,3.858,6,dbgps_only
101213626,False,1,1,12,9.201,ok,134,134,True,3,6.381,11,dbgps_only
101214712,False,1,1,91,70.976,ok,134,134,True,20,42.179,68,dbgps_only
101215102,False,1,0,4,3.220,ok,134,134,True,1,2.851,4,dbgps_only
101215327,False,2,2,354,243.439,ok,134,134,True,67,170.104,287,dbgps_only
101216765,False,1,1,319,168.530,ok,134,134,True,34,100.843,266,dbgps_only
101216883,True,0,0,9,4.354,ok,126,134,False,0,2.754,6,consensus_only
101217996,True,0,0,9,5.671,ok,129,134,False,0,3.694,6,consensus_only
101218554,False,1,1,10,7.561,ok,134,134,True,1,4.851,8,dbgps_only
101218572,False,1,1,174,139.201,ok,134,134,True,32,101.291,145,dbgps_only
101219433,False,1,1,6,4.909,ok,134,134,True,1,3.231,6,dbgps_only
101220764,False,1,1,110,86.530,ok,134,134,True,17,62.291,92,dbgps_only
101221547,False,1,1,234,141.787,ok,134,134,True,51,92.351,134,dbgps_only
101222777,False,1,1,15,12.195,ok,134,134,True,3,7.179,12,dbgps_only
101224628,False,5,5,6,4.976,ok,134,134,True,1,2.187,5,dbgps_only
101224799,False,1,1,27,20.470,ok,134,134,True,1,14.828,22,dbgps_only
101226970,False,1,1,14,10.976,ok,134,134,True,2,7.299,13,dbgps_only
101227153,False,1,1,14,9.774,ok,134,134,True,1,7.261,12,dbgps_only
101227372,True,0,0,118,93.640,ok,120,134,False,0,69.254,98,consensus_only
101228495,False,1,1,499,273.348,ok,134,134,True,69,174.321,337,dbgps_only
101228524,False,1,0,7,4.720,ok,134,134,True,1,3.418,7,dbgps_only
101228904,False,1,1,264,208.384,ok,134,134,True,34,135.381,211,dbgps_only
101230228,False,2,2,8,6.189,ok,134,134,True,1,3.41,6,dbgps_only
101232188,False,1,1,35,27.195,ok,134,134,True,2,22.985,31,dbgps_only
101233285,False,1,1,163,127.305,ok,134,134,True,9,73.701,107,dbgps_only
101233913,False,1,1,432,293.280,ok,134,134,True,64,202.403,352,dbgps_only
101236317,False,1,1,93,74.610,ok,134,134,True,11,39.687,61,dbgps_only
101238925,False,1,1,12,9.085,ok,134,134,True,1,6.485,10,dbgps_only
101238977,False,1,0,312,141.817,ok,134,134,True,38,79.142,402,dbgps_only
101239484,False,1,1,163,130.140,ok,134,134,True,26,79.657,115,dbgps_only
101239829,False,1,1,17,13.762,ok,134,134,True,1,8.851,16,dbgps_only
101240366,False,2,2,5,4.024,ok,134,134,True,1,3.142,5,dbgps_only
101240690,True,0,0,6,4.268,ok,122,134,False,0,2.179,5,consensus_only
101240785,False,1,1,2,1.610,ok,134,134,True,1,1.291,2,dbgps_only
101241402,True,0,0,7,4.701,ok,123,134,False,0,2.828,6,consensus_only
101242186,False,1,1,8,6.439,ok,134,134,True,1,5.231,8,dbgps_only
101242302,True,0,0,8,5.652,ok,132,134,False,0,3.209,7,consensus_only
101242963,True,0,0,104,64.262,ok,121,134,False,0,39.881,55,consensus_only
101243944,True,0,0,12,9.323,ok,132,134,False,0,6.082,10,consensus_only
101244193,False,1,1,4,3.018,ok,134,134,True,1,2.522,4,dbgps_only
101244242,True,0,0,7,5.451,ok,123,134,False,0,3.701,7,consensus_only
101244906,False,1,1,4,3.220,ok,134,134,True,1,2.933,4,dbgps_only
101244962,False,1,1,14,9.848,ok,134,134,True,1,7.082,13,dbgps_only
101245163,False,1,1,7,5.634,ok,134,134,True,1,3.672,7,dbgps_only
101245259,False,1,1,136,108.933,ok,134,134,True,11,75.112,124,dbgps_only
101246247,False,1,1,178,140.811,ok,134,134,True,18,100.657,148,dbgps_only
101246386,True,0,0,14,10.945,ok,131,134,False,0,7.806,13,consensus_only
101246966,False,1,1,18,14.110,ok,134,134,True,3,9.933,15,dbgps_only
101248254,False,1,1,15,11.665,ok,134,134,True,4,8.269,12,dbgps_only
101248572,False,1,1,872,422.463,ok,134,134,True,2,265.627,723,dbgps_only
101250640,False,1,0,9,7.238,ok,134,134,True,2,6.627,9,dbgps_only
101250916,False,1,1,21,16.701,ok,134,134,True,2,12.321,18,dbgps_only
101250971,False,1,1,17,13.171,ok,134,134,True,3,9.59,14,dbgps_only
101251726,False,1,1,5,4.024,ok,134,134,True,1,2.873,5,dbgps_only
101251760,False,1,1,10,7.537,ok,134,134,True,1,5.381,8,dbgps_only
101252699,False,1,1,13,10.463,ok,134,134,True,3,8.799,13,dbgps_only
101253395,True,0,0,38,30.543,ok,129,134,False,0,23.06,32,consensus_only
